suite,prompt_sha16,position,scenario,topk,tis_cap,behavior_tail_mass,current_tail_mass,behavior_cap_mass,behavior_log_ratio_abs_mean,exact_gradient_l1,exact_gradient_l2,error_l1,error_l2,relative_error_l1
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,8,1.001,0.0004587330331823321,0.0004511454123768082,0.00011234972201025049,5.7872336240612614e-05,4.6364824048615804e-06,2.3341289590086363e-06,4.636482397861739e-06,2.334128952068034e-06,0.999999998490269
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,8,1.05,0.0004587330331823321,0.0004511454123768082,8.67487162047673e-06,5.7872336240612614e-05,2.848728883646338e-07,1.6102805057473065e-07,2.8487288136331827e-07,1.6102804439404095e-07,0.9999999754230191
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,8,2.0,0.0004587330331823321,0.0004511454123768082,0.0,5.7872336240612614e-05,7.0014452313807695e-15,6.994405412445979e-15,0.0,0.0,
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,32,1.001,0.0003638317168062579,0.00035841386478860864,0.00011234972201025049,5.7872336240612614e-05,4.6364824048615804e-06,2.3341289590086363e-06,4.03584904363446e-06,2.025112852015409e-06,0.8704549464919081
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,32,1.05,0.0003638317168062579,0.00035841386478860864,8.67487162047673e-06,5.7872336240612614e-05,2.848728883646338e-07,1.6102805057473065e-07,1.9911618930407428e-07,1.171995661883464e-07,0.6989650382215664
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,32,2.0,0.0003638317168062579,0.00035841386478860864,0.0,5.7872336240612614e-05,7.0014452313807695e-15,6.994405412445979e-15,0.0,0.0,
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,128,1.001,0.0002772110810326867,0.0002732625787818955,0.00011234972201025049,5.7872336240612614e-05,4.6364824048615804e-06,2.3341289590086363e-06,2.8171856825427027e-06,1.409056827825224e-06,0.6076127194160695
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,128,1.05,0.0002772110810326867,0.0002732625787818955,8.67487162047673e-06,5.7872336240612614e-05,2.848728883646338e-07,1.6102805057473065e-07,7.264472653041437e-08,3.684321964213848e-08,0.25500751211336764
val-gsm8k,e21f6062be8c8538,prompt,real_base_to_step8,128,2.0,0.0002772110810326867,0.0002732625787818955,0.0,5.7872336240612614e-05,7.0014452313807695e-15,6.994405412445979e-15,0.0,0.0,
val-gsm8k,e21f6062be8c8538,prompt,calibrated_0.016,8,1.001,0.0004587330331823321,0.005457334747325608,0.0009280548771500347,0.015999987714759717,0.026926586589007165,0.01448994523348952,0.00039333017360661357,2.2702341604518815e-05,0.014607502228566596
val-gsm8k,e21f6062be8c8538,prompt,calibrated_0.016,8,1.05,0.0004587330331823321,0.005457334747325608,0.0009261733557016988,0.015999987714759717,0.026837121854909312,0.014442933181830025,0.0004125773130030095,2.4146049125608115e-05,0.015373381513619232
val-gsm8k,e21f6062be8c8538,prompt,calibrated_0.016,8,2.0,0.0004587330331823321,0.005457334747325608,0.000895304903939584,0.015999987714759717,0.025133064333104006,0.013546121893062904,0.000785614575410149,6.515223525343653e-05,0.031258208907513796
val-gsm8k,e21f6062be8c8538,prompt,calibrated_0.016,32,1.001,0.0003638317168062579,0.0047236927948415795,0.0009280548771500347,0.015999987714759717,0.026926586589007165,0.01448994523348952,0.00031741077026589573,1.552805556977567e-05,0.011788006222648337
val-gsm8k,e21f6062be8c8538,prompt,calibrated_0.016,32,1.05,0.0003638317168062579,0.0047236927948415795,0.0009261733557016988,0.015999987714759717,0.026837121854909312,0.014442933181830025,0.00033294350650809256,1.657664843562896e-05,0.012406080961591164
val-gsm8k,e21f6062be8c8538,prompt,calibrated_0.016,32,2.0,0.0003638317168062579,0.0047236927948415795,0.000895304903939584,0.015999987714759717,0.025133064333104006,0.013546121893062904,0.0006339829684716778,5.0546361683698e-05,0.02522505652590191
val-gsm8k,e21f6062be8c8538,prompt,calibrated_0.016,128,1.001,0.0002772110810326867,0.0035114335867921613,0.0009280548771500347,0.015999987714759717,0.026926586589007165,0.01448994523348952,0.00024710792015520235,9.470104052122923e-06,0.009177097859707353
